"","X1_1","X4","X6","X12","X13","X14","X15","X16","X17","X18","predicted"
"1",84,2.1352,33.622,2.4521,278.04,0.01789,0.3076,0.2524,2.3395,0.8643,0.379004344898633
"2",96,1.2479,37.111,1.2657,258.85,-0.02111,0.1573,1.2152,10.7758,0.0646,0.307426285860622
"3",97,1.6893,35.573,1.3545,250.34,0.01204,0.2771,0.1062,0.3364,0.5689,0.288105548163736
"4",98,2.198,33.942,1.5745,272.64,0.01439,0.299,0.1094,0.4031,0.8768,0.319792209939853
"5",101,1.182,33.685,2.2489,305.72,-0.02928,0.1897,0.8093,7.4209,0.2129,0.342201059186842
"6",103,1.4189,35.572,3.7325,299.96,0.01469,0.1678,0.3789,-99,0.8426,0.360538583317003
"7",104,1.7863,35.767,4.7537,304.99,0.04154,0.0488,0.5806,4.1477,0.8698,0.427000978367611
"8",105,2.2565,34.784,4.4259,306.51,0.04053,0.0833,0.4525,2.5629,0.8828,0.425006009026751
"9",106,2.5618,34.168,4.2118,304.94,0.0514,0.0533,0.5799,2.9245,0.8637,0.429107745835406
"10",107,2.4793,34.552,4.1062,309.42,0.05221,0.0333,0.5484,2.8619,0.8953,0.42419708155915
"11",108,1.9519,35.377,3.6772,306.2,0.02379,0.0508,0.5961,3.0176,0.7906,0.396955674539656
"12",109,1.8822,35.713,4.0268,307.03,0.04358,0.0753,0.4275,1.433,0.8913,0.392423389173313
"13",110,1.0632,36.195,4.4565,303.28,0.04934,0.0576,0.3726,1.017,0.9175,0.372840945311856
"14",111,1.5017,36.226,4.01,298.09,0.04348,0.0725,0.4407,1.9553,0.9237,0.382227776139286
"15",112,1.3421,36.355,4.2103,302.07,0.04947,0.1214,0.4486,1.9856,0.9373,0.38303275280233
"16",113,1.4209,36.432,4.9671,305.23,0.07001,0.0696,0.4841,1.9965,0.9391,0.406495553247674
"17",114,0.60347,36.842,4.5126,308.64,0.04264,0.0422,0.3943,1.2655,0.9127,0.357867167586083
"18",115,1.1485,37.195,4.5432,312.46,0.05281,0.0628,0.4442,2.1189,0.9237,0.385408291049339
"19",116,-1.2358,38.724,4.6881,303.39,0.02537,0.0489,0.4316,1.3037,0.8205,0.292747316004549
"20",117,-1.6419,40.159,4.5366,306.72,0.01778,0.0436,0.4505,-99,0.8285,0.299597403838936
"21",118,-2.3164,40.664,3.9518,310.46,0.02853,0.0568,0.3226,0.6523,0.7641,0.232633763991654
"22",119,-2.7549,41.1,4.0552,310.36,0.00181,0.0714,0.3637,0.9891,0.7303,0.229434310448365
"23",120,-2.9162,42.67,3.1237,299.61,0.0375,0.1339,0.1608,0.0492,0.841,0.202182294802037
"24",121,-3.3184,42.634,3.8425,297.52,0.00529,0.1727,0.3084,0.6768,0.7265,0.21124960305726
"25",122,-0.91341,40.454,3.4397,316.72,0.02195,0.1255,0.2841,1.0122,0.8694,0.258743044058215
"26",123,0.71596,37.767,3.9845,306.02,0.0349,0.147,0.3867,2.0164,0.8547,0.341987442594004
"27",124,0.86537,37.277,2.8615,269.54,0.02303,0.1026,0.2184,0.518,0.9365,0.286848616805129
"28",125,0.09447,37.34,3.0982,299.07,0.03521,0.1207,0.2198,0.4302,0.9575,0.26873828051211
"29",128,-2.7469,39.985,3.0377,281.41,0.02702,0.1144,0.1101,0.0012,0.9895,0.197194608667835
"30",129,-2.0024,39.541,3.8258,296.7,0.05289,0.1124,0.2256,0.1191,0.9855,0.221543572744579
